['SS Cottrell', 7.84, 44.82, 'Fast', 2013, 2014, 1, 1.2, 0]
['J Blackwood', 29.25, 61.47, 'Bat', 2014, 2021, 1.17, 1.2, 0]
['JO Holder', 31.39, 27.51, 'Fast', 2014, 2021, 1.18, 0.93, 37]
['LR Johnson', 22.2, 100, 'OpenBat', 2014, 2016, 0.97, 0.8, 0]
['KK Peters', 5.6, 35.85, 'Med', 2014, 2014, 1, 1.1, 0]
['SD Hope', 24.89, 100, 'Bat', 2015, 2020, 0.85, 1.2, 0]
['SO Dowrich', 27.54, 100, 'WK', 2015, 2020, 0.94, 1.2, 0]
['R Chandrika', 14.15, 100, 'OpenBat', 2015, 2016, 0.62, 1.2, 0]
['JA Warrican', 6.25, 31.89, 'Spin', 2015, 2021, 1.06, 1.2, 0]
['CR Brathwaite', 19.73, 40.11, 'Fast', 2015, 2016, 1.27, 1.15, 0]
['RL Chase', 27.66, 40.43, 'Spin', 2016, 2020, 0.95, 1.2, 0]
['ML Cummins', 4.71, 35.97, 'Fast', 2016, 2019, 0.71, 1.2, 0]
['AS Joseph', 12.39, 36.88, 'Fast', 2016, 2021, 1.23, 1.2, 0]
['SO Hetmyer', 25.15, 100, 'Bat', 2017, 2019, 1.47, 1.2, 0]
['VA Singh', 19.84, 100, 'Bat', 2017, 2017, 0.63, 1.2, 0]
['KA Hope', 16.58, 100, 'Bat', 2017, 2017, 0.81, 1.2, 0]
['SW Ambris', 18.12, 100, 'Bat', 2017, 2018, 0.93, 1.2, 0]
